Id,Label,EntityType,Subtype,Domain,SourceLayer,FamilyId,FamilyName,ImplementationState,PrimaryGradeBand,PrimaryContentDomain,OfficialIdentifier,DocumentPath,ArtifactType,Purpose,DeliveryFormat,SourcePath,DecisionType,Outcome,RegistryId,SliceId,Status,ReviewStatus,SupportedProfiles,MappedFamilyIds,MappedGradeBands,MappedContentDomains,NodeIds,EntryNodeIds,LearnerStateFields,VerificationGateTargets,FailureModeTargets,InterventionTargets,ResponseModesSupported,AccessibilityTags,LanguageSupportTags,AppliesWhen
capability:S2,S2 signed_number_operations,CapabilityNode,capability,mathematics,capability_topology,A,downstream_algebra_and_coordinate_reasoning,implemented,Grades 6-7,the number system,S2,,,,,,,,,,,,,A,Grades 6-7,the number system,,,,,,,,,,
capability:E1,E1 one_step_equations,CapabilityNode,capability,mathematics,capability_topology,A,downstream_algebra_and_coordinate_reasoning,implemented,Grades 6-8,expressions and equations,E1,,,,,,,,,,,,,A,Grades 6-8,expressions and equations,,,,,,,,,,
capability:E2,E2 multi_step_equations,CapabilityNode,capability,mathematics,capability_topology,A,downstream_algebra_and_coordinate_reasoning,implemented,Grades 6-8,expressions and equations,E2,,,,,,,,,,,,,A,Grades 6-8,expressions and equations,,,,,,,,,,
capability:E3,E3 variables_both_sides,CapabilityNode,capability,mathematics,capability_topology,A,downstream_algebra_and_coordinate_reasoning,implemented,Grades 6-8,expressions and equations,E3,,,,,,,,,,,,,A,Grades 6-8,expressions and equations,,,,,,,,,,
capability:A1,A1 variable_expressions_and_substitution,CapabilityNode,capability,mathematics,capability_topology,A,downstream_algebra_and_coordinate_reasoning,implemented,Grades 6-8,expressions and equations / functions / geometry,A1,,,,,,,,,,,,,A,Grades 6-8,expressions and equations / functions / geometry,,,,,,,,,,
capability:A2,A2 distributive_reasoning_and_combining_like_terms,CapabilityNode,capability,mathematics,capability_topology,A,downstream_algebra_and_coordinate_reasoning,implemented,Grades 6-8,expressions and equations / functions / geometry,A2,,,,,,,,,,,,,A,Grades 6-8,expressions and equations / functions / geometry,,,,,,,,,,
capability:A3,A3 inequalities_and_solution_sets,CapabilityNode,capability,mathematics,capability_topology,A,downstream_algebra_and_coordinate_reasoning,implemented,Grades 6-8,expressions and equations / functions / geometry,A3,,,,,,,,,,,,,A,Grades 6-8,expressions and equations / functions / geometry,,,,,,,,,,
capability:A4,A4 coordinate_plane_and_ordered_pairs,CapabilityNode,capability,mathematics,capability_topology,A,downstream_algebra_and_coordinate_reasoning,implemented,Grades 6-8,expressions and equations / functions / geometry,A4,,,,,,,,,,,,,A,Grades 6-8,expressions and equations / functions / geometry,,,,,,,,,,
capability:A5,A5 linear_relationship_tables_and_graphs,CapabilityNode,capability,mathematics,capability_topology,A,downstream_algebra_and_coordinate_reasoning,implemented,Grades 6-8,expressions and equations / functions / geometry,A5,,,,,,,,,,,,,A,Grades 6-8,expressions and equations / functions / geometry,,,,,,,,,,
family:j,rational_number_operations_and_middle_school_computation,CapabilityFamily,family,mathematics,capability_topology,J,rational_number_operations_and_middle_school_computation,,,,,,,,,,,,,,,,,J,,,,,,,,,,,,
capability:J1,J1 rational_number_addition_and_subtraction,CapabilityNode,capability,mathematics,capability_topology,J,rational_number_operations_and_middle_school_computation,implemented,Grades 6-7,the number system / ratios and proportional relationships,J1,,,,,,,,,,,,,J,Grades 6-7,the number system / ratios and proportional relationships,,,,,,,,,,
capability:J2,J2 rational_number_multiplication_and_division,CapabilityNode,capability,mathematics,capability_topology,J,rational_number_operations_and_middle_school_computation,implemented,Grades 6-7,the number system / ratios and proportional relationships,J2,,,,,,,,,,,,,J,Grades 6-7,the number system / ratios and proportional relationships,,,,,,,,,,
capability:J3,J3 signed_rational_number_fluency_and_order,CapabilityNode,capability,mathematics,capability_topology,J,rational_number_operations_and_middle_school_computation,implemented,Grades 6-7,the number system / ratios and proportional relationships,J3,,,,,,,,,,,,,J,Grades 6-7,the number system / ratios and proportional relationships,,,,,,,,,,
capability:J4,J4 numerical_expressions_and_absolute_value,CapabilityNode,capability,mathematics,capability_topology,J,rational_number_operations_and_middle_school_computation,implemented,Grades 6-7,the number system / ratios and proportional relationships,J4,,,,,,,,,,,,,J,Grades 6-7,the number system / ratios and proportional relationships,,,,,,,,,,
capability:J5,J5 percent_change_discount_tax_and_markup,CapabilityNode,capability,mathematics,capability_topology,J,rational_number_operations_and_middle_school_computation,implemented,Grades 6-7,the number system / ratios and proportional relationships,J5,,,,,,,,,,,,,J,Grades 6-7,the number system / ratios and proportional relationships,,,,,,,,,,
capability:J6,J6 proportional_application_and_scale_modeling,CapabilityNode,capability,mathematics,capability_topology,J,rational_number_operations_and_middle_school_computation,implemented,Grades 6-7,the number system / ratios and proportional relationships,J6,,,,,,,,,,,,,J,Grades 6-7,the number system / ratios and proportional relationships,,,,,,,,,,
family:k,functions_and_secondary_linear_algebra,CapabilityFamily,family,mathematics,capability_topology,K,functions_and_secondary_linear_algebra,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,
capability:K1,K1 variable_relationships_and_independent_dependent_quantities,CapabilityNode,capability,mathematics,capability_topology,K,functions_and_secondary_linear_algebra,implemented,Grade 8 to High School,functions / algebra,K1,,,,,,,,,,,,,K,Grade 8 to High School,functions / algebra,,,,,,,,,,
capability:K2,K2 function_as_input_output_rule,CapabilityNode,capability,mathematics,capability_topology,K,functions_and_secondary_linear_algebra,implemented,Grade 8 to High School,functions / algebra,K2,,,,,,,,,,,,,K,Grade 8 to High School,functions / algebra,,,,,,,,,,
capability:K3,K3 slope_rate_of_change_and_linear_growth,CapabilityNode,capability,mathematics,capability_topology,K,functions_and_secondary_linear_algebra,implemented,Grade 8 to High School,functions / algebra,K3,,,,,,,,,,,,,K,Grade 8 to High School,functions / algebra,,,,,,,,,,
capability:K4,K4 linear_equations_in_two_variables,CapabilityNode,capability,mathematics,capability_topology,K,functions_and_secondary_linear_algebra,implemented,Grade 8 to High School,functions / algebra,K4,,,,,,,,,,,,,K,Grade 8 to High School,functions / algebra,,,,,,,,,,
capability:K5,K5 linear_functions_multiple_representations,CapabilityNode,capability,mathematics,capability_topology,K,functions_and_secondary_linear_algebra,implemented,Grade 8 to High School,functions / algebra,K5,,,,,,,,,,,,,K,Grade 8 to High School,functions / algebra,,,,,,,,,,
capability:K6,K6 systems_of_linear_equations_and_inequalities,CapabilityNode,capability,mathematics,capability_topology,K,functions_and_secondary_linear_algebra,implemented,Grade 8 to High School,functions / algebra,K6,,,,,,,,,,,,,K,Grade 8 to High School,functions / algebra,,,,,,,,,,
capability:K7,K7 quadratic_foundations,CapabilityNode,capability,mathematics,capability_topology,K,functions_and_secondary_linear_algebra,implemented,Grade 8 to High School,functions / algebra,K7,,,,,,,,,,,,,K,Grade 8 to High School,functions / algebra,,,,,,,,,,
family:h,secondary_geometry_transformations_and_proof,CapabilityFamily,family,mathematics,capability_topology,H,secondary_geometry_transformations_and_proof,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,
capability:H1,H1 transformations_and_coordinate_symmetry,CapabilityNode,capability,mathematics,capability_topology,H,secondary_geometry_transformations_and_proof,implemented,Grade 8 to High School,geometry,H1,,,,,,,,,,,,,H,Grade 8 to High School,geometry,,,,,,,,,,
capability:H2,H2 congruence_and_similarity_via_transformations,CapabilityNode,capability,mathematics,capability_topology,H,secondary_geometry_transformations_and_proof,implemented,Grade 8 to High School,geometry,H2,,,,,,,,,,,,,H,Grade 8 to High School,geometry,,,,,,,,,,
capability:H3,H3 proof_structure_and_geometric_argument,CapabilityNode,capability,mathematics,capability_topology,H,secondary_geometry_transformations_and_proof,implemented,Grade 8 to High School,geometry,H3,,,,,,,,,,,,,H,Grade 8 to High School,geometry,,,,,,,,,,
capability:H4,H4 right_triangle_trigonometric_ratio_foundations,CapabilityNode,capability,mathematics,capability_topology,H,secondary_geometry_transformations_and_proof,implemented,Grade 8 to High School,geometry,H4,,,,,,,,,,,,,H,Grade 8 to High School,geometry,,,,,,,,,,
capability:H5,H5 circles_measurement_and_coordinate_geometry,CapabilityNode,capability,mathematics,capability_topology,H,secondary_geometry_transformations_and_proof,implemented,Grade 8 to High School,geometry,H5,,,,,,,,,,,,,H,Grade 8 to High School,geometry,,,,,,,,,,
family:w,secondary_statistics_and_probability,CapabilityFamily,family,mathematics,capability_topology,W,secondary_statistics_and_probability,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,
capability:W1,W1 statistical_distributions_and_variability,CapabilityNode,capability,mathematics,capability_topology,W,secondary_statistics_and_probability,implemented,Grades 6-12,statistics and probability,W1,,,,,,,,,,,,,W,Grades 6-12,statistics and probability,,,,,,,,,,
capability:W2,W2 bivariate_data_and_linear_association,CapabilityNode,capability,mathematics,capability_topology,W,secondary_statistics_and_probability,implemented,Grades 6-12,statistics and probability,W2,,,,,,,,,,,,,W,Grades 6-12,statistics and probability,,,,,,,,,,
capability:W3,W3 sampling_inference_and_study_design,CapabilityNode,capability,mathematics,capability_topology,W,secondary_statistics_and_probability,implemented,Grades 6-12,statistics and probability,W3,,,,,,,,,,,,,W,Grades 6-12,statistics and probability,,,,,,,,,,
capability:W4,W4 probability_models_and_compound_events,CapabilityNode,capability,mathematics,capability_topology,W,secondary_statistics_and_probability,implemented,Grades 6-12,statistics and probability,W4,,,,,,,,,,,,,W,Grades 6-12,statistics and probability,,,,,,,,,,
capability:W5,W5 sampling_distributions,CapabilityNode,capability,mathematics,capability_topology,W,secondary_statistics_and_probability,implemented,Grades 6-12,statistics and probability,W5,,,,,,,,,,,,,W,Grades 6-12,statistics and probability,,,,,,,,,,
capability:W6,W6 inference_for_proportions,CapabilityNode,capability,mathematics,capability_topology,W,secondary_statistics_and_probability,implemented,Grades 6-12,statistics and probability,W6,,,,,,,,,,,,,W,Grades 6-12,statistics and probability,,,,,,,,,,
capability:W7,W7 inference_for_means,CapabilityNode,capability,mathematics,capability_topology,W,secondary_statistics_and_probability,implemented,Grades 6-12,statistics and probability,W7,,,,,,,,,,,,,W,Grades 6-12,statistics and probability,,,,,,,,,,
capability:W8,W8 chi_square_reasoning,CapabilityNode,capability,mathematics,capability_topology,W,secondary_statistics_and_probability,implemented,Grades 6-12,statistics and probability,W8,,,,,,,,,,,,,W,Grades 6-12,statistics and probability,,,,,,,,,,
capability:W9,W9 inference_for_regression_slope,CapabilityNode,capability,mathematics,capability_topology,W,secondary_statistics_and_probability,implemented,Grades 6-12,statistics and probability,W9,,,,,,,,,,,,,W,Grades 6-12,statistics and probability,,,,,,,,,,
family:b,advanced_algebra_trigonometry_and_precalculus,CapabilityFamily,family,mathematics,capability_topology,B,advanced_algebra_trigonometry_and_precalculus,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,
capability:B1,B1 polynomial_structure_and_operations,CapabilityNode,capability,mathematics,capability_topology,B,advanced_algebra_trigonometry_and_precalculus,implemented,High School,algebra / functions / number and quantity,B1,,,,,,,,,,,,,B,High School,algebra / functions / number and quantity,,,,,,,,,,
capability:B2,B2 rational_radical_and_exponential_functions,CapabilityNode,capability,mathematics,capability_topology,B,advanced_algebra_trigonometry_and_precalculus,implemented,High School,algebra / functions / number and quantity,B2,,,,,,,,,,,,,B,High School,algebra / functions / number and quantity,,,,,,,,,,
capability:B3,B3 logarithmic_and_inverse_function_reasoning,CapabilityNode,capability,mathematics,capability_topology,B,advanced_algebra_trigonometry_and_precalculus,implemented,High School,algebra / functions / number and quantity,B3,,,,,,,,,,,,,B,High School,algebra / functions / number and quantity,,,,,,,,,,
capability:B4,B4 trigonometric_functions_and_unit_circle,CapabilityNode,capability,mathematics,capability_topology,B,advanced_algebra_trigonometry_and_precalculus,implemented,High School,algebra / functions / number and quantity,B4,,,,,,,,,,,,,B,High School,algebra / functions / number and quantity,,,,,,,,,,
capability:B5,B5 precalculus_function_synthesis_and_limits_foundations,CapabilityNode,capability,mathematics,capability_topology,B,advanced_algebra_trigonometry_and_precalculus,implemented,High School,algebra / functions / number and quantity,B5,,,,,,,,,,,,,B,High School,algebra / functions / number and quantity,,,,,,,,,,
capability:B6,B6 trigonometric_identities_equations_and_analytic_trig,CapabilityNode,capability,mathematics,capability_topology,B,advanced_algebra_trigonometry_and_precalculus,implemented,High School,algebra / functions / number and quantity,B6,,,,,,,,,,,,,B,High School,algebra / functions / number and quantity,,,,,,,,,,
capability:B7,B7 sequences_series_and_recursive_structure,CapabilityNode,capability,mathematics,capability_topology,B,advanced_algebra_trigonometry_and_precalculus,implemented,High School,algebra / functions / number and quantity,B7,,,,,,,,,,,,,B,High School,algebra / functions / number and quantity,,,,,,,,,,
capability:B8,B8 complex_numbers_and_quadratic_extensions,CapabilityNode,capability,mathematics,capability_topology,B,advanced_algebra_trigonometry_and_precalculus,implemented,High School,algebra / functions / number and quantity,B8,,,,,,,,,,,,,B,High School,algebra / functions / number and quantity,,,,,,,,,,
capability:B9,B9 conic_sections_and_coordinate_models,CapabilityNode,capability,mathematics,capability_topology,B,advanced_algebra_trigonometry_and_precalculus,implemented,High School,algebra / functions / number and quantity,B9,,,,,,,,,,,,,B,High School,algebra / functions / number and quantity,,,,,,,,,,
capability:B10,B10 vectors_matrices_and_parametric_foundations,CapabilityNode,capability,mathematics,capability_topology,B,advanced_algebra_trigonometry_and_precalculus,implemented,High School,algebra / functions / number and quantity,B10,,,,,,,,,,,,,B,High School,algebra / functions / number and quantity,,,,,,,,,,
family:ap,advanced_placement_mathematics_pathways,CapabilityFamily,family,mathematics,capability_topology,AP,advanced_placement_mathematics_pathways,,,,,,,,,,,,,,,,,AP,,,,,,,,,,,,
capability:AP1,AP1 ap_statistics_extension,CapabilityNode,capability,mathematics,capability_topology,AP,advanced_placement_mathematics_pathways,implemented,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,AP1,,,,,,,,,,,,,AP,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,,,,,,,,,,
capability:AP2,AP2 ap_precalculus_extension,CapabilityNode,capability,mathematics,capability_topology,AP,advanced_placement_mathematics_pathways,implemented,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,AP2,,,,,,,,,,,,,AP,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,,,,,,,,,,
capability:AP3,AP3 limits_and_continuity,CapabilityNode,capability,mathematics,capability_topology,AP,advanced_placement_mathematics_pathways,implemented,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,AP3,,,,,,,,,,,,,AP,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,,,,,,,,,,
capability:AP4,AP4 derivative_rules_and_computation,CapabilityNode,capability,mathematics,capability_topology,AP,advanced_placement_mathematics_pathways,implemented,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,AP4,,,,,,,,,,,,,AP,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,,,,,,,,,,
capability:AP5,AP5 applications_of_derivatives,CapabilityNode,capability,mathematics,capability_topology,AP,advanced_placement_mathematics_pathways,implemented,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,AP5,,,,,,,,,,,,,AP,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,,,,,,,,,,
capability:AP6,AP6 integral_meaning_and_accumulation,CapabilityNode,capability,mathematics,capability_topology,AP,advanced_placement_mathematics_pathways,implemented,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,AP6,,,,,,,,,,,,,AP,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,,,,,,,,,,
capability:AP7,AP7 applications_of_integration,CapabilityNode,capability,mathematics,capability_topology,AP,advanced_placement_mathematics_pathways,implemented,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,AP7,,,,,,,,,,,,,AP,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,,,,,,,,,,
capability:AP8,AP8 differential_equations_foundations,CapabilityNode,capability,mathematics,capability_topology,AP,advanced_placement_mathematics_pathways,implemented,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,AP8,,,,,,,,,,,,,AP,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,,,,,,,,,,
capability:AP9,AP9 bc_series_and_advanced_calculus_extensions,CapabilityNode,capability,mathematics,capability_topology,AP,advanced_placement_mathematics_pathways,implemented,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,AP9,,,,,,,,,,,,,AP,Advanced Placement / Post-CCSS extension,advanced coursework beyond the current codified K-12 standards corpus,,,,,,,,,,
grade-band:pre-k,Pre-K,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:kindergarten,Kindergarten,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:kindergarten-to-grade-1,Kindergarten to Grade 1,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:grades-1-3,Grades 1-3,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:grades-4-5,Grades 4-5,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:kindergarten-to-grade-3,Kindergarten to Grade 3,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:grades-3-5,Grades 3-5,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:kindergarten-to-grade-5,Kindergarten to Grade 5,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:kindergarten-to-grade-2,Kindergarten to Grade 2,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:grades-1-2,Grades 1-2,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:grades-2-4,Grades 2-4,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:grades-2-3,Grades 2-3,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:grades-6-7,Grades 6-7,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:grades-6-8,Grades 6-8,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:grade-8-to-high-school,Grade 8 to High School,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:grades-6-12,Grades 6-12,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:high-school,High School,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade-band:advanced-placement-post-ccss-extension,Advanced Placement / Post-CCSS extension,GradeBand,grade_band,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:pre-standard-mathematical-readiness,pre-standard mathematical readiness,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:counting-and-cardinality,counting and cardinality,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:operations-and-algebraic-thinking,operations and algebraic thinking,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:number-and-operations-in-base-ten,number and operations in base ten,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:number-and-operations-in-base-ten-number-and-operations-with-fractions,number and operations in base ten / number and operations with fractions,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:operations-and-algebraic-thinking-number-and-operations-with-fractions,operations and algebraic thinking / number and operations with fractions,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:operations-and-algebraic-thinking-number-and-operations-in-base-ten,operations and algebraic thinking / number and operations in base ten,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:measurement-and-data,measurement and data,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:geometry,geometry,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:operations-and-algebraic-thinking-number-representation,operations and algebraic thinking / number representation,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:number-and-operations-in-base-ten-number-representation,number and operations in base ten / number representation,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:number-and-operations-with-fractions,number and operations with fractions,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:ratios-and-proportional-relationships,ratios and proportional relationships,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:the-number-system,the number system,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:expressions-and-equations,expressions and equations,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:expressions-and-equations-functions-geometry,expressions and equations / functions / geometry,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:the-number-system-ratios-and-proportional-relationships,the number system / ratios and proportional relationships,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:functions-algebra,functions / algebra,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:statistics-and-probability,statistics and probability,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:algebra-functions-number-and-quantity,algebra / functions / number and quantity,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content-domain:advanced-coursework-beyond-the-current-codified-k-12-standards-corpus,advanced coursework beyond the current codified K-12 standards corpus,ContentDomain,content_domain,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performance-level:proficient,Proficient,PerformanceLevel,performance_level,mathematics,standards_overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:pre-k:pre-kindergarten-readiness-prior-to-kindergarten-mathematics-standards,pre-kindergarten readiness prior to kindergarten mathematics standards,StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Pre-K,pre-standard mathematical readiness,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:kindergarten:count-sequence-fluency-and-stable-verbal-counting,count sequence fluency and stable verbal counting,StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Kindergarten,counting and cardinality,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:kindergarten:one-to-one-correspondence-while-counting-objects,one-to-one correspondence while counting objects,StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Kindergarten,counting and cardinality,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:kindergarten:cardinality-and-the-final-count-principle,cardinality and the final-count principle,StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Kindergarten,counting and cardinality,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:kindergarten:compare-small-quantities-and-determine-more-less-or-equal,"compare small quantities and determine more, less, or equal",StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Kindergarten,counting and cardinality,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:kindergarten:numeral-recognition-and-writing-readiness-supporting-numeral-quantity-alignment,numeral recognition and writing readiness supporting numeral-quantity alignment,StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Kindergarten,counting and cardinality,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:kindergarten:match-symbols-to-counted-quantities-and-quantity-names,match symbols to counted quantities and quantity names,StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Kindergarten,counting and cardinality,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:kindergarten-to-grade-1:compose-and-decompose-numbers-and-reason-about-addition-and-subtraction,compose and decompose numbers and reason about addition and subtraction,StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Kindergarten to Grade 1,operations and algebraic thinking,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:grades-1-3:understand-place-value-and-use-it-to-structure-multidigit-comparison-and-operations,understand place value and use it to structure multidigit comparison and operations,StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Grades 1-3,number and operations in base ten,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:grades-4-5:extend-place-value-reasoning-to-decimals-and-connect-decimals-to-fraction-benchmarks,extend place-value reasoning to decimals and connect decimals to fraction benchmarks,StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Grades 4-5,number and operations in base ten / number and operations with fractions,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:kindergarten-to-grade-3:reason-about-equal-groups-equal-shares-and-partitioning-as-foundations-for-multiplication-division-and-fractions,"reason about equal groups, equal shares, and partitioning as foundations for multiplication, division, and fractions",StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Kindergarten to Grade 3,operations and algebraic thinking / number and operations with fractions,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:grades-3-5:use-multiplicative-structure-for-facts-comparison-multidigit-multiplication-and-division,"use multiplicative structure for facts, comparison, multidigit multiplication, and division",StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Grades 3-5,operations and algebraic thinking / number and operations in base ten,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:kindergarten-to-grade-5:reason-about-measurable-attributes-units-comparison-representation-and-conversion,"reason about measurable attributes, units, comparison, representation, and conversion",StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Kindergarten to Grade 5,measurement and data,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:kindergarten-to-grade-5:recognize-compose-classify-and-reason-about-geometric-figures-and-spatial-structure,"recognize, compose, classify, and reason about geometric figures and spatial structure",StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Kindergarten to Grade 5,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,
ccss-anchor:kindergarten-to-grade-2:notice-repeated-and-growing-structure-as-readiness-for-algebraic-thinking,notice repeated and growing structure as readiness for algebraic thinking,StandardsAnchor,ccss_anchor,mathematics,standards_overlay,,,,Kindergarten to Grade 2,operations and algebraic thinking,,,,,,,,,,,,,,,,,,,,,,,,,,
